id,original_sentence,attack_sentence,sentiment
222,Pertti Ervi is [[independent]] from the [[Company]] and its [[major]] shareholders,Pertti Ervi is [[independents]] from the [[Business]] and its [[hefty]] shareholders,2
223,"Following the [[move]] , Stora Enso holding in NewPage will [[remain]] unchanged","Following the [[moves]] , Stora Enso holding in NewPage will [[sustain]] unchanged",2
224,"Outotec 's scope of delivery [[covers]] the [[engineering]] , supply of [[special]] [[equipment]] and [[services]] for a calcination plant with two circulating fluid bed calciners","Outotec 's scope of delivery [[embraces]] the [[genius]] , supply of [[unique]] [[team]] and [[service]] for a calcination plant with two circulating fluid bed calciners",2
225,"Clothing retail [[chain]] Sepp+ñl+[[ñ]] 's sales [[increased]] by 8 % to EUR 155.2 mn , and operating [[profit]] [[rose]] to EUR 31.1 mn from [[EUR]] 17.1 [[mn]] in 2004","Clothing retail [[string]] Sepp+ñl+[[ó]] 's sales [[hikes]] by 8 % to EUR 155.2 mn , and operating [[dividend]] [[rebounds]] to EUR 31.1 mn from [[EURO]] 17.1 [[min]] in 2004",0
226,"It is a member of the OneWorld alliance , which [[includes]] American [[Airlines]] and British [[Airways]]","It is a member of the OneWorld alliance , which [[implicates]] American [[Airlift]] and British [[Airspace]]",2
227,"Earnings per share for the quarter were also [[higher]] year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur","Earnings per share for the quarter were also [[grandest]] year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur",0
228,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance [[excluding]] [[expenses]] for investment management and [[expenses]] for other services rendered Non-life Insurance investment portfolio by allocatio,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance [[disqualify]] [[costs]] for investment management and [[burdened]] for other services rendered Non-life Insurance investment portfolio by allocatio,2
229,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , [[declined]] by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market","Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , [[reduction]] by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market",1
230,"The [[world]] 's second largest stainless steel maker [[said]] net profit in the three-month period until Dec. 31 [[surged]] to euro603 [[million]] US$ 781 [[million]] , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous [[year]]","The [[planet]] 's second largest stainless steel maker [[affirmed]] net profit in the three-month period until Dec. 31 [[slipped]] to euro603 [[billions]] US$ 781 [[millionth]] , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous [[leto]]",0
231,"Operating profit [[decreased]] to nearly EUR 1.7 mn , however","Operating profit [[mitigation]] to nearly EUR 1.7 mn , however",1
232,"The manufacture of CPPs will be [[undertaken]] at the existing Export [[Oriented]] Unit EOU at Wartsila 's [[factory]] at Khopoli , [[near]] [[Mumbai]]","The manufacture of CPPs will be [[reopened]] at the existing Export [[Concentrates]] Unit EOU at Wartsila 's [[installations]] at Khopoli , [[foreseeable]] [[Madras]]",2
233,Operating [[profit]] [[rose]] to EUR 103.4 mn from EUR 23.2 in the [[corresponding]] [[period]] in 2006,Operating [[revenues]] [[hikes]] to EUR 103.4 mn from EUR 23.2 in the [[correspond]] [[periods]] in 2006,0
234,"At the request of Finnish media company Alma [[Media]] 's newspapers , research manager Jari Kaivo-oja at the [[Finland]] Futures Research Centre at the Turku School of Economics has [[drawn]] up a future [[scenario]] for Finland 's national economy by using a model developed by the University of Denver","At the request of Finnish media company Alma [[Milieu]] 's newspapers , research manager Jari Kaivo-oja at the [[Finns]] Futures Research Centre at the Turku School of Economics has [[lured]] up a future [[screenplay]] for Finland 's national economy by using a model developed by the University of Denver",2
235,Sales of security and system packaging [[increased]] slightly,Sales of security and system packaging [[soars]] slightly,0
236,Kaupthing Bank will [[publish]] its annual [[results]] for 2007 before markets open on [[Thursday]] 31 [[January]],Kaupthing Bank will [[publication]] its annual [[upshot]] for 2007 before markets open on [[Saturday]] 31 [[Janeiro]],2
237,`` Marimekko [[operates]] in an industry in which [[changes]] in the [[business]] climate are [[reflected]] in consumer demand,`` Marimekko [[manage]] in an industry in which [[shift]] in the [[entrepreneurial]] climate are [[shown]] in consumer demand,2
238,"[[Changes]] being announced [[today]] will be [[effective]] after the [[close]] of [[trading]] on Friday , June 19 , 2009","[[Shift]] being announced [[thursday]] will be [[efficacious]] after the [[tight]] of [[trade]] on Friday , June 19 , 2009",2
239,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , [[compared]] to 8.4 mln euro $ 10.9 mln for 2005","Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , [[comparative]] to 8.4 mln euro $ 10.9 mln for 2005",1
240,[[The]] machinery now ordered will be [[placed]] in a new [[mill]] with an [[annual]] production [[capacity]] of 40 000 m3 of overlaid birch plywood,[[Nova]] machinery now ordered will be [[brought]] in a new [[factories]] with an [[year]] production [[capability]] of 40 000 m3 of overlaid birch plywood,2
241,"Finnish bank Pohjola [[Bank]] Plc HEL : POH1S [[said]] [[today]] that it will issue a [[EUR]] 40 million [[USD]] 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola [[Research]] Stars VIII-2010 , on [[October]] 27 , 2010","Finnish bank Pohjola [[Banks]] Plc HEL : POH1S [[reaffirmed]] [[now]] that it will issue a [[EUROS]] 40 million [[DOLLAR]] 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola [[Study]] Stars VIII-2010 , on [[Nov]] 27 , 2010",2
242,"YIT lodged counter [[claims]] against Neste Oil totaling some EUR25m , primarily [[based]] on [[work]] carried out under the [[contract]] and additional costs incurred [[due]] to prolongation of the [[project]]","YIT lodged counter [[allege]] against Neste Oil totaling some EUR25m , primarily [[bases]] on [[cooperation]] carried out under the [[contractual]] and additional costs incurred [[appropriately]] to prolongation of the [[draft]]",1
243,"The contract [[covers]] the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden","The contract [[embraces]] the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden",2
244,"- Demand for fireplace products was [[lower]] than expected , especially in Germany","- Demand for fireplace products was [[mitigation]] than expected , especially in Germany",1
245,"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be [[announced]] [[later]] , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla","The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be [[heralding]] [[posterior]] , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla",2
246,Affecto has [[participated]] in the program for the development of the Norwegian pension system since 2007,Affecto has [[competed]] in the program for the development of the Norwegian pension system since 2007,2
247,"[[Financial]] Statements [[include]] the [[consolidated]] financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the [[Corporate]] Governance [[Statement]]","[[Financials]] Statements [[complicate]] the [[consolidating]] financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the [[Companies]] Governance [[Statements]]",2
248,"[[For]] 2009 , net [[profit]] was EUR 3 million and the company paid a dividend of [[EUR]] 1.30 apiece","[[Towards]] 2009 , net [[gains]] was EUR 3 million and the company paid a dividend of [[EURO]] 1.30 apiece",2
249,Sports equipment sales also progressed [[well]] owing to the prolonged winter season,Sports equipment sales also progressed [[bah]] owing to the prolonged winter season,0
250,"According to the company , a [[decision]] in the [[issue]] will be [[made]] in the [[summer]] of 2010 , at the [[earliest]] , and in the [[summer]] of 2011 , at the latest","According to the company , a [[decide]] in the [[hassles]] will be [[achieved]] in the [[hsia]] of 2010 , at the [[tightest]] , and in the [[sommer]] of 2011 , at the latest",2
251,N-Viro operates processing facilities [[independently]] as [[well]] as in partnership with municipalities,N-Viro operates processing facilities [[notwithstanding]] as [[good]] as in partnership with municipalities,2
252,The move was [[triggered]] by [[weak]] [[demand]] for forestry equipment and the uncertain market situation,The move was [[aroused]] by [[brittle]] [[wondering]] for forestry equipment and the uncertain market situation,1
253,"[[The]] Board [[established]] a Remuneration [[Committee]] with following members : - Sari Baldauf [[Chairman]] - Tapio Hintikka - Heikki Westerlund In addition , the Board [[decided]] to appoint a Nomination Committee at a later [[stage]]","[[To]] Board [[caused]] a Remuneration [[Commitee]] with following members : - Sari Baldauf [[Presiding]] - Tapio Hintikka - Heikki Westerlund In addition , the Board [[decision]] to appoint a Nomination Committee at a later [[ballpark]]",2
254,"Metsaliitto , however , [[narrowed]] its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago","Metsaliitto , however , [[decreased]] its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago",0
255,"In the end of 2006 , the number of outlets will [[rise]] to 60-70","In the end of 2006 , the number of outlets will [[augmentation]] to 60-70",0
256,The deal will have no [[significant]] [[effect]] on the acquiring company 's equity [[ratio]],The deal will have no [[tremendous]] [[complications]] on the acquiring company 's equity [[quotient]],2
257,"The money will be [[spread]] [[mainly]] over 2011 and 2012 , the company [[said]]","The money will be [[spreading]] [[especially]] over 2011 and 2012 , the company [[says]]",2
258,"The broker [[started]] UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' [[recommendations]] and Holmen and Norske Skog with ` underweight ' ratings","The broker [[opened]] UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' [[recommendation]] and Holmen and Norske Skog with ` underweight ' ratings",2
259,"The Company [[serves]] [[approximately]] 3,000 [[customers]] in over 100 countries","The Company [[assisted]] [[nearly]] 3,000 [[shoppers]] in over 100 countries",2
260,"A Helsinki : ELIiV [[today]] reported EPS of EUR1 .13 for 2009 , an [[increase]] over EPS of EUR1 .12 in 2008","A Helsinki : ELIiV [[currently]] reported EPS of EUR1 .13 for 2009 , an [[enhanced]] over EPS of EUR1 .12 in 2008",0
261,"[[Excluding]] non-recurring items , pre-tax [[profit]] [[surged]] 45 % to EUR80m","[[Foreclose]] non-recurring items , pre-tax [[takings]] [[skyrocketed]] 45 % to EUR80m",0
262,The combined [[value]] of the orders is [[almost]] EUR 3mn,The combined [[importance]] of the orders is [[tightest]] EUR 3mn,2
263,Finnish [[Bank]] of +àland reports its operating [[profit]] [[rose]] to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008,Finnish [[Banker]] of +àland reports its operating [[revenues]] [[hikes]] to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008,0
264,"The [[biggest]] sellers in the chain 's supermarkets in Finland are [[organic]] Pirkka [[tomatoes]] , carrots , eggs , and meat products","The [[strongest]] sellers in the chain 's supermarkets in Finland are [[biological]] Pirkka [[broccoli]] , carrots , eggs , and meat products",2
265,"The order [[comprises]] all production lines for a plywood mill , company said in a statement received by Lesprom Network","The order [[implicates]] all production lines for a plywood mill , company said in a statement received by Lesprom Network",2
266,Atria said its offer would give the Swedish company [[continued]] ownership and control of its slaughtering and cutting operations,Atria said its offer would give the Swedish company [[sustained]] ownership and control of its slaughtering and cutting operations,2
267,The [[financial]] statements [[release]] will be [[available]] after publishing on the Company 's internet pages at www.cargotec.[[com]],The [[economy]] statements [[liberation]] will be [[affordable]] after publishing on the Company 's internet pages at www.cargotec.[[coms]],2
268,"Cost [[savings]] will then [[rise]] to some 20 [[mln]] eur a year from 2007 , OKO said","Cost [[economics]] will then [[rebounds]] to some 20 [[trillions]] eur a year from 2007 , OKO said",0
269,The writing and publication of Lemmink+ñinen -¦ s history is a [[continuation]] of [[earlier]] [[collaboration]] between Antti Tuuri and the [[company]],The writing and publication of Lemmink+ñinen -¦ s history is a [[continuance]] of [[sooner]] [[cooperating]] between Antti Tuuri and the [[enterprising]],2
270,Also the development of online businesses will [[continue]],Also the development of online businesses will [[persevere]],2
271,The contract value [[amounts]] to EUR 2.4 [[million]],The contract value [[volumes]] to EUR 2.4 [[billions]],2
272,"The sale , which will result in a [[gain]] of some EUR 60 million in the second quarter of 2010 for Oriola-KD , [[supports]] the Finnish company 's strategy to focus on pharmaceutical wholesale and retail [[operations]]","The sale , which will result in a [[obtains]] of some EUR 60 million in the second quarter of 2010 for Oriola-KD , [[contends]] the Finnish company 's strategy to focus on pharmaceutical wholesale and retail [[activities]]",0
273,"[[Finnish]] pulp and paper machinery [[maker]] Vaahto Group Oyj swung to a 1.1 [[mln]] euro $ 1.4 [[mln]] net profit in the fiscal 2005-06 , [[ended]] [[August]] 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05","[[Finn]] pulp and paper machinery [[craftsman]] Vaahto Group Oyj swung to a 1.1 [[billions]] euro $ 1.4 [[millions]] net profit in the fiscal 2005-06 , [[halting]] [[Augusta]] 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05",0
274,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can [[also]] be paid [[depending]] on Intellibis [[financial]] performance in 2007,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can [[again]] be paid [[relying]] on Intellibis [[funding]] performance in 2007,2
275,"In September alone , the market [[declined]] by 10.2 percent year-on-year to 19.28 million liters","In September alone , the market [[regressed]] by 10.2 percent year-on-year to 19.28 million liters",1
276,QPR ProcessGuide is [[available]] as a system solution with centralized storage and management of [[process]] content as [[well]] as a standalone desktop version ; QPR ProcessGuide Xpress,QPR ProcessGuide is [[attainable]] as a system solution with centralized storage and management of [[treated]] content as [[good]] as a standalone desktop version ; QPR ProcessGuide Xpress,2
277,"The [[transaction]] is [[subject]] to a final agreement between the [[parties]] , approvals of their decision-making bodies and [[approval]] by the Finnish Competition Authority","The [[surgery]] is [[topic]] to a final agreement between the [[part]] , approvals of their decision-making bodies and [[endorsement]] by the Finnish Competition Authority",2
278,"The start of the negotiations , [[relating]] to Glaston 's [[efficiency]] program , was [[announced]] in October","The start of the negotiations , [[relative]] to Glaston 's [[effectiveness]] program , was [[heralded]] in October",2
279,"According to Gallup Food and Farm Facts , [[beef]] [[consumption]] [[totaled]] 99mn kilos in Finland in 2007","According to Gallup Food and Farm Facts , [[cows]] [[exertion]] [[aggregate]] 99mn kilos in Finland in 2007",2
280,"[[In]] 2008 , the deal is likely to bring [[savings]] of [[EUR]] 20mn-25mn","[[At]] 2008 , the deal is likely to bring [[rescued]] of [[EUROS]] 20mn-25mn",0
281,"In the building and home improvement trade , sales [[decreased]] by 6.3 % , totalling EUR 154.1 mn","In the building and home improvement trade , sales [[mitigation]] by 6.3 % , totalling EUR 154.1 mn",1
282,"In the first quarter of 2008 , Sacanfil 's [[net]] sales [[totalled]] EUR 50.0 mn and its operating profit EUR 4.7 mn","In the first quarter of 2008 , Sacanfil 's [[tenderloin]] sales [[reached]] EUR 50.0 mn and its operating profit EUR 4.7 mn",2
283,The acquisition will [[considerably]] increase Kemira 's sales and market position in the Russian metal industry coatings market,The acquisition will [[appallingly]] increase Kemira 's sales and market position in the Russian metal industry coatings market,0
284,"A. Le Coq Special was developed for the bicentenary of the company and the [[trade]] [[mark]] , the [[brewer]] [[said]]","A. Le Coq Special was developed for the bicentenary of the company and the [[marketplace]] [[flagged]] , the [[brewery]] [[says]]",2
285,"Componenta is a metal sector [[company]] with [[international]] operations and [[production]] plants located in Finland , the Netherlands , Sweden and [[Turkey]]","Componenta is a metal sector [[entrepreneurial]] with [[worldwide]] operations and [[fruitful]] plants located in Finland , the Netherlands , Sweden and [[Turkic]]",2
286,"The disposal of Autotank will also [[strengthen]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo","The disposal of Autotank will also [[consolidating]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo",0
287,"[[The]] steelmaker said that the [[drop]] in profit was explained by the [[continuing]] economic uncertainty , mixed with the [[current]] drought in bank lending , [[resulting]] in a [[decline]] in [[demand]] for its products as customers [[find]] it increasingly difficult to fund [[operations]]","[[Du]] steelmaker said that the [[chute]] in profit was explained by the [[constant]] economic uncertainty , mixed with the [[currently]] drought in bank lending , [[result]] in a [[reductions]] in [[demands]] for its products as customers [[unearth]] it increasingly difficult to fund [[operandi]]",1
288,"561,470 new shares under 2003 [[option]] rights plan Packaging company Huhtamaki Oyj reported on [[Monday]] that a [[total]] of 561,470 new shares of the company have been [[issued]] [[based]] on share subscriptions under its 2003 [[option]] [[rights]] plan","561,470 new shares under 2003 [[replacing]] rights plan Packaging company Huhtamaki Oyj reported on [[Saturday]] that a [[unmitigated]] of 561,470 new shares of the company have been [[dispensed]] [[base]] on share subscriptions under its 2003 [[alternates]] [[right]] plan",2
289,Finnish KCI Konecranes has been awarded an [[order]] for four hot [[metal]] ladle cranes by Indian steel [[producer]] Bhushan Steel & Strips to be delivered in 2007,Finnish KCI Konecranes has been awarded an [[injunction]] for four hot [[metallic]] ladle cranes by Indian steel [[manufacturer]] Bhushan Steel & Strips to be delivered in 2007,0
290,"The Group 's turnover in 2006 was EUR 39.2 [[million]] , and [[operating]] [[profit]] was EUR 3.9 [[million]]","The Group 's turnover in 2006 was EUR 39.2 [[zillion]] , and [[exploiting]] [[gains]] was EUR 3.9 [[millionth]]",2
291,"The six [[breweries]] [[recorded]] a 5.2 percent [[growth]] in domestic [[beer]] [[sales]] last [[year]] to 270.21 million liters , from 256.88 million liters sold in 2005","The six [[beaters]] [[register]] a 5.2 percent [[exacerbate]] in domestic [[casket]] [[sale]] last [[annually]] to 270.21 million liters , from 256.88 million liters sold in 2005",0
292,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , [[decreased]] to EUR 161.5 mn from EUR 164.1 mn in January-September 2005","Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , [[shortening]] to EUR 161.5 mn from EUR 164.1 mn in January-September 2005",1
293,"In January-June 2010 , diluted loss [[per]] [[share]] [[stood]] at EUR0 .3 versus EUR0 .1 in the [[first]] half of 2009","In January-June 2010 , diluted loss [[paras]] [[shared]] [[reached]] at EUR0 .3 versus EUR0 .1 in the [[outset]] half of 2009",1
294,"The company 's transportation [[business]] is [[conducted]] through Florida Rock & [[Tank]] Lines , which is a Southeastern transportation [[company]] [[concentrating]] in the hauling by motor carrier of liquid and [[dry]] bulk commodities","The company 's transportation [[venture]] is [[accomplished]] through Florida Rock & [[Reservoir]] Lines , which is a Southeastern transportation [[entrepreneurial]] [[spotlight]] in the hauling by motor carrier of liquid and [[drier]] bulk commodities",2
295,`` [[Demand]] for [[sports]] equipment was [[good]] in 2005,`` [[Asked]] for [[athletes]] equipment was [[bueno]] in 2005,0
296,The agreement [[includes]] [[application]] maintenance and support services,The agreement [[embraces]] [[requested]] maintenance and support services,2
297,The bank VTB24 [[provides]] [[mortgage]] loans to buy apartments in the complex at 11-13 % per [[annum]] in [[rubles]],The bank VTB24 [[brings]] [[refinance]] loans to buy apartments in the complex at 11-13 % per [[annually]] in [[rupees]],2
298,"In 2008 , AVC Systemhaus had [[net]] sales of EUR 10 [[million]] USD 7.1 m","In 2008 , AVC Systemhaus had [[nabbed]] sales of EUR 10 [[zillion]] USD 7.1 m",2
299,"Loss after [[financial]] items totalled EUR 9.7 mn , [[compared]] to a profit of EUR 1.3 mn in the corresponding period in 2008","Loss after [[funds]] items totalled EUR 9.7 mn , [[compare]] to a profit of EUR 1.3 mn in the corresponding period in 2008",1
300,8 May 2009 - Finnish [[liquid]] handling products and diagnostic [[test]] systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss [[narrowed]] to EUR0 .1 m ( USD0 .14 m ) for the [[first]] quarter of 2009 from EUR0 .4 m for the same [[period]] of 2008,8 May 2009 - Finnish [[fluid]] handling products and diagnostic [[essays]] systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss [[dwindled]] to EUR0 .1 m ( USD0 .14 m ) for the [[initially]] quarter of 2009 from EUR0 .4 m for the same [[scheduling]] of 2008,0
301,"The [[maximum]] [[grade]] of the veneer yield is [[calculated]] , based on the dimensions and grades of the veneer products , as [[well]] as by iterating the [[places]] of the peeling axes and [[simulating]] the peeling process","The [[superior]] [[degree]] of the veneer yield is [[estimated]] , based on the dimensions and grades of the veneer products , as [[good]] as by iterating the [[venues]] of the peeling axes and [[emulate]] the peeling process",2
302,Pharmaceutical market in [[Poland]] [[Global]] Research & Data Services published recently a market analysis about the [[pharmaceutical]] [[markets]] in Poland,Pharmaceutical market in [[Pole]] [[Universally]] Research & Data Services published recently a market analysis about the [[drug]] [[contracted]] in Poland,2
303,The [[idea]] of saving [[electricity]] in data [[transfer]] is still a [[new]] one,The [[inkling]] of saving [[electrified]] in data [[transfered]] is still a [[nouveau]] one,2
304,"In his current position , Manty has [[worked]] since 1996","In his current position , Manty has [[cooperating]] since 1996",2
305,`` They [[want]] my credit card [[info]] and my personal details,`` They [[envy]] my credit card [[informations]] and my personal details,2
306,Sales [[rose]] 10 pct to 566 mln eur on the back of [[strong]] volume and [[favourable]] currency [[effects]],Sales [[hikes]] 10 pct to 566 mln eur on the back of [[pompous]] volume and [[propitious]] currency [[repercussions]],0
307,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit [[decreased]] to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20","( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit [[shortening]] to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20",1
308,"Profit before taxes [[decreased]] by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier","Profit before taxes [[shortening]] by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier",1
309,"The Web-Marela [[application]] [[handles]] invitations to quote , quote comparisons , agreements , [[purchases]] , invoice [[inspections]] , inventory management , and deliveries","The Web-Marela [[petition]] [[tampered]] invitations to quote , quote comparisons , agreements , [[bribed]] , invoice [[inspectors]] , inventory management , and deliveries",2
310,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been [[let]]","The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been [[leaving]]",2
311,"We succeeded in [[increasing]] our market [[share]] of sold apartment '' , comments Mr Kari Kauniskangas , [[Head]] of YIT International [[Construction]] Services","We succeeded in [[croissant]] our market [[exchanging]] of sold apartment '' , comments Mr Kari Kauniskangas , [[Heads]] of YIT International [[Erect]] Services",0
312,Sanoma News ' advertising sales [[decreased]] by 22 % during the year,Sanoma News ' advertising sales [[shortening]] by 22 % during the year,1
313,"The financial impact is estimated to be an annual [[improvement]] of EUR2 .0 m in the division 's results , as of fiscal year 2008","The financial impact is estimated to be an annual [[improved]] of EUR2 .0 m in the division 's results , as of fiscal year 2008",0
314,"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at [[least]] a year","Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at [[weakest]] a year",2
315,"Finnish printed circuit boards ( PCBs ) [[maker]] Aspocomp [[Group]] Oyj [[said]] on December 4 , 2006 it named [[Henry]] Gilchrist [[senior]] [[vice]] president of the group 's Asian operations , as of [[January]] 8 , 2007","Finnish printed circuit boards ( PCBs ) [[producers]] Aspocomp [[Grupo]] Oyj [[affirms]] on December 4 , 2006 it named [[Enrique]] Gilchrist [[top]] [[immodest]] president of the group 's Asian operations , as of [[Janeiro]] 8 , 2007",2
316,"Changes in the market situation and tougher price competition have substantially [[reduced]] demand for bread packaging manufactured at the Kauhava plant , according to the company","Changes in the market situation and tougher price competition have substantially [[mitigation]] demand for bread packaging manufactured at the Kauhava plant , according to the company",1
