id,sentence,snippets,target,sentiment_score,aspects
350,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",['they are all poised to breakout.'],ARIA,0.5,['Stock/Technical Analysis/Breakout']
351,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,['strong move today'],JNUG,0.55,['Stock/Price Action/Bullish/Bullish Behavior']
352,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,['Calls are going to b a Blessing for my Daughters tuition'],KORS,0.431,['Stock/Price Action/Bullish']
353,$FB they are hitting  everything in sight.short it. but twtr,['they are hitting everything in sight.short it'],FB,-0.504,['Stock/Price Action/Bearish']
354,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,['SS interest rose on 12/15 on day before we hit our lows'],TSLA,-0.405,['Stock/Price Action/Bearish']
355,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady","[""Let's see some higher highs and higher lows rest of the day""]",KNDI,0.396,['Stock/Price Action']
356,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",['Stochastic Sell Signal'],IFF,-0.471,['Stock/Signal/Sell Signal']
357,"$INO Up, up, and away!","['Up, up, and away!']",INO,0.604,['Stock/Price Action/Bullish']
358,$BOBE down $2.84  premarket,['down $2.84  premarket'],BOBE,-0.512,['Stock/Price Action/Bearish/Bearish Behavior']
359,$CHRM Loooooongggggg base,['Loooooongggggg base'],CHRM,0.557,['Stock/Price Action/Bullish']
360,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,['looks like it has found support'],NQ,-0.551,['Stock/Price Action']
361,$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,['LONG & STRONG'],RSH,0.643,['Stock/Price Action/Bullish']
362,$GS sells flat..I am out..,['sells flat..I am out..'],GS,-0.541,['Stock/Price Action/Bearish']
363,Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,['Soars 67% Today On Positive Phase 3 Results'],SGYP,0.623,['Stock/Price Action']
364,NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,['Settles At 3-year Low'],DBO,-0.563,['Stock/Price Action/Bearish']
365,$WX Decent pull back . .,['Decent pull back . .'],WX,-0.325,['Stock/Price Action/Bearish/Bearish Behavior']
366,"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",['Revenue Rises 36%'],AKS,0.42,['Corporate/Financial/Financial Results/Earnings']
367,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,['both 1m/6m trends turn bullish today'],BBRY,0.561,['Stock/Price Action/Bullish/Bullish Behavior']
368,Long $GPRO for a brealout trade,['Long'],GPRO,0.594,['Stock/Price Action/Bullish/Bull Position']
369,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,['Will this cold put a dent in the massive horizontal rig production'],UGAZ,-0.237,['Corporate/Risks/Halt in Services']
370,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,['short from here.'],ISRG,-0.678,['Stock/Price Action/Bearish/Bear Position']
371,"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",['Breakup Will Cost Billions'],HPQ,-0.265,['Corporate/Risks']
372,@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,['Strong close'],PLNR,0.523,['Stock/Price Action/Bullish/Bullish Behavior']
373,Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,['will pull back'],CPIX,-0.231,['Stock/Price Action/Bearish/Bearish Behavior']
374,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",['Sandbagged the guidance'],GILD,-0.083,['Corporate/Financial/Financial Results/Earnings/Company Guidance']
375,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,['Stochastic Overbought'],LPG,-0.385,['Stock/Technical Analysis']
376,$YANG Double bottom 5.2,['Double bottom'],YANG,0.23,['Stock/Technical Analysis']
377,$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,['Potential continuation Uptrend'],HYG,0.437,['Stock/Technical Analysis']
378,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,['looks like an ascending channel'],CYTX,0.363,['Stock/Technical Analysis']
379,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,"[""I'm glad I got stopped out of my""]",AAPL,0.089,['Stock/Price Action/Bearish/Bearish Behavior']
380,"$WFM Bought a little yesterday, hoping for an earnings pop.",['Bought a little yesterday'],WFM,0.562,['Stock/Price Action/Bullish/Bull Position']
381,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,['Finding Support Near 1.10 Level'],UUP,0.259,['Stock/Price Action']
382,$IBIO  up 10% in premarket ready for lift off,['up 10% in premarket'],IBIO,0.507,['Stock/Price Action/Bullish/Bullish Behavior']
383,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",['rumor this morning had them spinning off'],MSFT,0.594,['Corporate/Rumors/Rumors']
384,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",['finally breaking under'],AAPL,-0.2,['Stock/Price Action/Bearish/Bearish Behavior']
385,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu","[""Gilligan's Island Buy Setup, Stochastic Buy Signal""]",DGI,0.564,['Stock/Signal/Buy Signal']
386,$LUV Continues to consolidate above previous break out area...,['ontinues to consolidate above previous break out area'],LUV,0.227,['Stock/Price Action/Bullish']
387,$REN bottoming out again.. Good time to buy,['bottoming out again.. Good time to buy'],REN,0.587,['Stock/Price Action/Bullish/Bullish Behavior']
388,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,['Hit With Lawsuit'],YNDX,-0.17,['Corporate/Legal/Lawsuit']
389,$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,['at resistance right here...sold my shares'],AAPL,-0.238,['Stock/Price Action/Bearish/Bearish Behavior']
390,$GALE Breakout Coming Soon!,['Breakout Coming Soon!'],GALE,0.465,['Stock/Technical Analysis/Breakout']
391,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this","[""Don't catch falling knives""]",RUSS,0.1,['Stock/Price Action/Bearish']
392,$AAPL $131 rally mode,['rally mode'],AAPL,0.5,['Stock/Price Action/Bullish']
393,$MPWR CEO sells 450k april 15th..meh,['CEO sells 450k'],MPWR,-0.195,['Stock/Insider Activity/Insider Selling']
394,"Homebuilders - $RYL breaking below support, watch this one.  $SPY",['breaking below support'],SPY,-0.397,['Stock/Price Action/Bearish/Bearish Behavior']
395,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,['afternoon selloff as usual will be brutal'],AAPL,-0.569,['Stock/Price Action/Bearish']
396,$AMZN Going thru the roof needs a sell!,['Going thru the roof needs a sell!'],AMZN,0.441,['Stock/Price Action']
397,"$ESI on lows, down $1.50 to $2.50 BK a real possibility","['on lows, down $1.50 to $2.50']",ESI,-0.465,['Stock/Price Action/Bearish/Bearish Behavior']
398,Short on $ATVI from 24.55.,['Short on'],ATVI,-0.745,['Stock/Price Action/Bearish/Bear Position']
399,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,['Bullish MA Crossovers'],TTT,0.457,['Stock/Technical Analysis']
400,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",['held the trend lin'],NAVB,0.325,['Stock/Price Action']
401,$NEON oversold,['oversold'],NEON,0.43,['Stock/Price Action/Current Price/Oversold']
402,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",['just re-tested lows . Should rise steadily from here'],SSYS,0.395,['Stock/Price Action/Bullish']
403,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.","['Break that HOD on volume, and we have a nice consolidation']",KNDI,0.602,['Stock/Price Action/Bullish/Bullish Behavior']
404,$INVE : SEE YA ABOVE $8,['SEE YA ABOVE $8'],INVE,0.502,['Stock/Price Action/Bullish']
405,$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,['Announces Extension of Merger Agreements'],BXS,0.348,['Corporate/M&A/Proposed Merger']
406,"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",['Up +20.84% In February'],FRP,0.559,['Stock/Price Action/Bullish/Bullish Behavior']
407,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,['Flagged As Strong On High Volume'],EXAS,0.385,['Stock/Price Action/Bullish']
408,$BIOC RSI extremely in long's favor looking at BIOC historically.,"[""RSI extremely in long's favor""]",BIOC,0.503,['Stock/Technical Analysis']
409,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,['Looks like an explosive setup if it can break the 20EMA'],TNH,0.348,['Stock/Price Action/Bullish']
410,$VMW  Got a nice push today following small sweepers of May C this morning,['Got a nice push today'],VMW,0.28,['Stock/Price Action/Bullish']
411,$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,['Stock Receives Ratings Downgrade'],DDD,-0.501,['Stock/Coverage/AnalystRatings/Downgrade']
412,$AAPL Dips being bought up real quick. Higher lows fo sho,['Dips being bought up real quick'],AAPL,0.249,['Stock/Price Action/Bullish/Bullish Behavior']
413,Long $X 24.62,['Long'],X,0.601,['Stock/Price Action/Bullish/Bull Position']
414,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,['gapping up to all time highs'],NKE,0.782,['Stock/Price Action/Current Price/52-Week High']
415,@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,['gasoline prices spike'],CLNE,0.46,['Stock/Price Action/Bullish']
416,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,['Files Lawsuit Against'],VZ,-0.346,['Corporate/Legal/Lawsuit']
417,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,['raised dividend'],AVGO,0.597,['Corporate/Dividend Policy/Dividend/Dividend going up']
418,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",['they keep bringing the share price down'],RXII,-0.507,['Stock/Price Action/Bearish']
419,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,['near a 3% drop thats a lot'],AAPL,-0.304,['Stock/Price Action/Bearish/Bearish Behavior']
420,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,['gonna give solid gains and a dividend'],HCP,0.52,['Corporate/Dividend Policy']
421,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.","['If positive, stock quickly moves to $10. Downside limited.']",ONTY,0.3,['Stock/Price Action/Bullish']
422,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,['Looks like bear traps getting laid'],SPY,0.351,['Stock/Price Action/Bullish']
423,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,['great cash balance and impressive growth rate'],BBRY,0.493,['Corporate/Financial/Accounting/Cash Reserves']
424,$IWM same conditions that sent markets to tumble all hitting this week,['same conditions that sent markets to tumble all hitting this week'],IWM,-0.236,['Market/Conditions']
425,$CRK time to accumulate for a long position with far more upside than downside,['time to accumulate for a long position'],CRK,0.668,['Stock/Price Action/Bullish/Bull Position']
426,$BWLD bearish engulfing candle,['bearish engulfing candle'],BWLD,-0.532,['Stock/Technical Analysis']
427,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,['SELL signal by $NDX internals'],QQQ,-0.541,['Stock/Signal/Sell Signal']
428,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,"[""Affirms 'A+' Credit Rating""]",AWR,0.526,['Stock/Coverage/Credit Rating']
429,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,['Get ready for the bull ride!'],FREE,0.538,['Stock/Price Action/Bullish']
430,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,['still very undervalued and has major upside'],NUAN,0.695,['Stock/Price Action/Bullish']
431,Why $MCD looks set to fall further. http://stks.co/f2fgj,['looks set to fall further'],MCD,-0.545,['Stock/Price Action/Bearish/Bearish Behavior']
432,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,['Being very tender with cash due to volatility'],GILD,0.153,['Market/Volatility]
433,$FB bot some @78.47 breakout from the consolidation zone :D,['bot some @78.47 breakout from the consolidation zone'],FB,0.724,['Stock/Price Action/Bullish/Bull Position']
434,$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,['Potential intermediate top in an Uptrend'],CRM,0.126,['Stock/Price Action/Bearish']
435,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,['takeover rumor'],TWTR,-0.278,['Corporate/Rumors/Rumors']
436,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",['Long term uptrend intract so far'],VRTX,0.368,['Stock/Price Action/Bullish']
437,$GEVO PLUNGING!  Back to $3.55.,['PLUNGING'],GEVO,-0.628,['Stock/Price Action/Bearish/Bearish Behavior']
438,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,['still failing to close above the 10D MA'],XLE,-0.517,['Stock/Technical Analysis']
439,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,['{Head&Shoulders} bullish reversal setup and breakout'],USO,0.253,['Stock/Technical Analysis']
440,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",['bullish story intact'],IMRS,0.4,['Stock/Price Action/Bullish']
441,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,['Shares Pounded On Fears Of Loss Of Business From'],MU,-0.596,['Corporate/Sales/Contract Withdrawn']
442,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",['ABC Bullish Pattern'],CHKP,0.496,['Stock/Technical Analysis']
443,$TSLA is now up 57% from its February low. Amazing rebound.,['Amazing rebound'],TSLA,0.582,['Stock/Price Action/Bullish']
444,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,['downgraded to neutral'],SBUX,-0.446,['Stock/Coverage/AnalystRatings/Downgrade']
445,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU","['down 2.3% today and down 8.9% since being put on ""The Short""']",MU,-0.469,['Stock/Price Action/Bearish/Bearish Behavior']
446,$YHOO About to break out on the 5-min...,['About to break out on the 5-min'],YHOO,0.313,['Stock/Technical Analysis']
447,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,['91 now support'],IBB,0.188,['Stock/Technical Analysis']
448,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,"[""That's an impressive bearish move""]",FB,-0.39,['Stock/Price Action/Bearish/Bearish Behavior']
449,$SAVE long. https://t.co/yEJuS9cMlC,['long'],SAVE,0.388,['Stock/Price Action/Bullish/Bull Position']
450,@mugatushair Now it is time to short $TSLA,['Now it is time to short'],TSLA,-0.385,['Stock/Price Action/Volatility/Short Selling']
451,$COST Costco less than stellar day but it held the 50 day moving average,['held the 50 day moving average'],COST,-0.14,['Stock/Technical Analysis']
452,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",['under pressure along with the market'],PYPL,0.014,['Stock/Price Action/Bearish/Bearish Behavior']
453,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,['Dividend Play'],COST,0.354,['Corporate/Dividend Policy']
454,$INTC finally some nice downside move... looking for the 31 handle to break,['finally some nice downside move'],INTC,-0.462,['Stock/Price Action/Bearish/Bearish Behavior']
455,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?","['bounce & retreats. Not short by any means, but action questions big up move.']",YHOO,-0.043,['Stock/Price Action']
456,"Sheryl Sandberg Sells 109,000 Shares of Facebook Inc $FB Stock https://t.co/3vXT7AMnpk via @RatingsNetwork","['Sheryl Sandberg Sells 109,000 Shares of Facebook']",FB,-0.186,['Stock/Insider Activity/Insider Selling']
457,Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,['selling surveillance cameras infected with malware'],AMZN,-0.186,['Corporate/Risks/Product Flaws']
458,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls","['hammer candle developing, close to 200 sma']",TSLA,0.4,['Stock/Price Action/Bearish']
459,Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,['Baird Upgrades Tesla'],TSLA,0.52,['Stock/Coverage/AnalystRatings/Upgrade']
460,$ilmn piper Jeffries raises pt.  I remain long,['piper Jeffries raises pt'],ILMN,0.467,['Stock/Coverage/AnalystRatings/Upgrade']
461,"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",['could see a nice pop if bids come in higher than expected'],YHOO,0.234,['Stock/Price Action']
462,I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,['200 day sma is the big hurdl'],NFLX,0.228,['Stock/Technical Analysis']
463,Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,['parent company in talks with potential partners'],YHOO,0.228,['Corporate/M&A']
464,expecting  $SPY to close above 205.20 $AAPL,['expecting $SPY to close above 205.20'],SPY,0.385,['Stock/Price Action/Bullish']
465,"$FB trending nicely, intraday.","['trending nicely, intraday.']",FB,0.404,['Stock/Price Action/Bullish/Bullish Behavior']
466,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,['Digital Strategy To Drive Significant Growth With Customer Loyalty'],SBUX,0.388,['Corporate/Strategy']
467,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",['Trendline and Resistance'],QCOM,-0.371,['Stock/Technical Analysis/Trend']
468,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",['is expanding its research facilities'],INTU,0.229,['Corporate/Strategy']
469,"$TSLA steaming up again, this stock is relentless at the moment","['steaming up again, this stock is relentless at the moment']",TSLA,0.535,['Stock/Price Action/Bullish/Bullish Behavior']
470,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,['@barronsonline sees #Apple at $150/share in a year'],AAPL,0.408,['Stock/Coverage']
471,Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,['Receives New Rating'],ADBE,0.141,['Stock/Coverage/Credit Rating']
472,Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,['Announces Record #Esports Viewership'],HDSI,0.208,['Corporate/Sales']
473,"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",['initiated $incy with an outperform yesterday'],INCY,0.574,['Stock/Coverage/AnalystRatings/Upgrade']
474,@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE,['Monday Bulls Are Out!'],SBUX,0.457,['Stock/Price Action/Bearish/Bearish Behavior']
475,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,['Recall Adds To Reliability Issues'],TSLA,-0.267,['Corporate/Risks/Product Recall']
476,Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT,['joins the open-source Eclipse Foundation'],MSFT,0.26,['Corporate/Strategy']
477,"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",['optimism about iPhone sales'],AAPL,0.279,['Corporate/Sales']
478,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,['$NFLX +1% $104.80 LONG'],NFLX,0.571,['Stock/Price Action/Bullish/Bullish Behavior']
479,Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,['prompt regulatory reviews'],GILD,-0.401,['Corporate/Regulatory']
480,Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,['Preparing for a Breakout Trade'],NFLX,0.358,['Stock/Technical Analysis/Breakout']
481,"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04","['just broke resistance, watching for a #redtogreen #breakou']",CTRP,0.598,['Stock/Technical Analysis']
482,Deutsche Bank cuts $SBUX,['Deutsche Bank cuts'],SBUX,-0.539,['Stock/Coverage/AnalystRatings/Downgrade']
483,"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",['misses on revenue'],FAST,-0.374,['Corporate/Financial/Financial Results']
484,$TSLA recall,['recall'],TSLA,-0.227,['Corporate/Risks/Product Recall']
485,Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC,['Piper upgrades Symantec on improving renewal rates and enterprise growth'],SYMC,0.525,['Stock/Coverage/AnalystRatings/Upgrade']
486,#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,['NEW Positive Timing Signal'],SBUX,0.341,['Stock/Signal/Buy Signal']
487,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,['Break-out thru 50 & 200- DMA'],TSLA,0.504,['Stock/Technical Analysis']
488,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,['Digital Strategy To Drive Significant Growth With Customer Loyalty'],SBUX,0.335,['Corporate/Strategy']
489,Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,['Another attempt to break out'],AAPL,0.138,['Stock/Price Action']
490,$ISRG Break out confirmed. Bought Leaps. Good trading!,['Break out confirmed'],ISRG,0.36,['Stock/Technical Analysis/Breakout']
491,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",['rumors to be realistic'],ENDP,0.422,['Corporate/Rumors']
492,$FB & $TSLA cracking lower early. $short #correction #stocks,['cracking lower earl'],TSLA,-0.511,['Stock/Price Action/Bearish/Bearish Behavior']
493,Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,['Today I bought more'],ZNGA,0.248,['Stock/Price Action/Bullish/Bull Position']
494,Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,['Shorts continue to pile in.'],TSLA,-0.373,['Stock/Price Action/Volatility/Short Selling']
495,"$AMZN trades in mid to upper range. No break out yet, either direction","['No break out yet, either direction']",AMZN,0.059,['Stock/Price Action']
496,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,['announces a recall'],TSLA,0.213,['Corporate/Risks/Product Recall']
497,$NFLX and $TSLA making all kinds of gains 📈,['making all kinds of gains 📈'],TSLA,0.42,['Stock/Price Action/Bullish/Bullish Behavior']
498,"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast","[""I'd be short""]",FAST,-0.625,['Stock/Price Action/Bearish']
499,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,['reiterates conviction buy'],SPY,0.335,['Stock/Coverage/AnalystRatings/Upgrade']
500,Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,['first Model X recall'],TSLA,-0.287,['Corporate/Risks/Product Recall']
501,$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,['being sued by FTC'],ENDP,-0.602,['Corporate/Legal/Lawsuit']
502,$TSLA weakest in todays DT watchlist,['weakest in todays DT watchlist'],TSLA,-0.383,['Stock/Price Action/Bearish']
503,"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in","['on fire, what is that 6 up days in a row']",TSLA,0.452,['Stock/Price Action/Bullish']
504,$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,['back over support'],IBB,0.362,['Stock/Technical Analysis']
505,"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",['China car sales +7.8%'],TSLA,0.225,['Corporate/Sales']
506,"took some $ENDP long this am, using VWAP as guide",['using VWAP as guide'],ENDP,0.613,['Corporate/Technical Analysis']
507,"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",['maybe closing all those $AAPL calls i had this morning was a bad idea'],AAPL,0.501,['Stock/Options']
508,$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,['weekly still under the 50 moving average and creating a lower high'],AAPL,-0.215,['Stock/Price Action/Bearish/Bearish Behavior']
509,"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",['is in a great financial position'],ISRG,0.406,['Corporate/Financial']
510,$NFLX I say it's time to short at this point.,['time to short at this point.'],NFLX,-0.489,['Stock/Price Action/Volatility/Short Selling']
511,$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,['upgraded to Buy'],TSLA,0.349,['Stock/Coverage/AnalystRatings/Upgrade']
512,$FB slight green... May be runner later,['slight green... May be runner later'],FB,0.328,['Stock/Price Action/Bullish']
513,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ","[""Stock Climbs as Barron's Sees 40% Upside""]",AAPL,0.517,['Stock/Coverage/AnalystRatings/Upgrade']
514,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs","['Tesla to recall 2,700 Model X SUVs over seat issue']",TSLA,-0.31,['Corporate/Risks/Product Recall']
515,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,['tumbles on Q1 warning'],JNPR,-0.366,['Corporate/Financial/Financial Results/Earnings/Profit Warning']
516,"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",['pretty bullish for now'],ATVI,0.323,['Stock/Price Action/Bullish']
517,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,['a parser buy signal'],CTRP,0.418,['Stock/Price Action/Bullish/Bullish Behavior']
